Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,ROJANASAK CHOMVILAILUK,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,SUDAPORN TAWAPEE,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,HWEE HAI LIM,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,SOMCHAI SITTICHAISRICHART,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Risk Management Committee,1.,HWEE HAI LIM,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Risk Management Committee,2.,YI ALEX LIM,N/A,0 / 0,N/A,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Risk Management Committee,3.,SOMCHAI SITTICHAISRICHART,N/A,2 / 2,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Risk Management Committee,4.,KIA HONG LIM,N/A,1 / 1,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,1.,SUDAPORN TAWAPEE,N/A,3 / 3,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,2.,ROJANASAK CHOMVILAILUK,N/A,3 / 3,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,3.,HWEE HAI LIM,N/A,3 / 3,100.00,,
SIS,2024,6,6,26/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,4.,SOMCHAI SITTICHAISRICHART,N/A,3 / 3,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,KIAH MENG LIM,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,SOMCHAI SITTICHAISRICHART,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,HWEE HAI LIM,N/A,5 / 6,83.33,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,ROJANASAK CHOMVILAILUK,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,HWEE NOI LIM,N/A,5 / 6,83.33,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PANUWAT CHALONGKUAMDEE,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,SUDAPORN TAWAPEE,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,YI ALEX LIM,N/A,6 / 6,100.00,1 / 1,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,ROJANASAK CHOMVILAILUK,N/A,6 / 6,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PANUWAT CHALONGKUAMDEE,N/A,6 / 6,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,SUDAPORN TAWAPEE,N/A,6 / 6,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SOMCHAI SITTICHAISRICHART,N/A,0 / 0,N/A,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PANUWAT CHALONGKUAMDEE,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,ROJANASAK CHOMVILAILUK,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,SUDAPORN TAWAPEE,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,HWEE HAI LIM,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,SOMCHAI SITTICHAISRICHART,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,HWEE HAI LIM,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,YI ALEX LIM,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,SOMCHAI SITTICHAISRICHART,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,4.,PANUWAT CHALONGKUAMDEE,N/A,1 / 1,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and Nomination Committee,1.,SUDAPORN TAWAPEE,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and Nomination Committee,2.,ROJANASAK CHOMVILAILUK,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and Nomination Committee,3.,HWEE HAI LIM,N/A,2 / 2,100.00,,
SIS,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and Nomination Committee,4.,SOMCHAI SITTICHAISRICHART,N/A,2 / 2,100.00,,
SIS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SIS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SIS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
