Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Audit Committee,3.,RONNAWAT SUWANNAPIROM,N/A,5 / 5,100.00,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Executive Committee,1.,EKACHAI SIRIJIRAPATANA,N/A,N/A,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Executive Committee,2.,PICHAI NERANARTKOMOL,N/A,N/A,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Executive Committee,3.,SOPHON INTANATE,N/A,N/A,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SARSAK TUNTASUWON,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Risk Management Committee,2.,VICHIT YANAMORN,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Risk Management Committee,3.,RONNAWAT SUWANNAPIROM,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SATHIT PITIVARA,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,RONNAWAT SUWANNAPIROM,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PIPOPE CHOKVATHANA,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Governance and Sustainable Development Committee,1.,RONNAWAT SUWANNAPIROM,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Governance and Sustainable Development Committee,2.,CHATTAPHUM KHANTIVIRIYA,N/A,0 / 0,N/A,,
IT,2023,5,5,05/04/2023,No,Meeting Attendance of Governance and Sustainable Development Committee,3.,PIPOPE CHOKVATHANA,N/A,0 / 0,N/A,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,1.,VICHIT YANAMORN,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,2.,EKACHAI SIRIJIRAPATANA,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,3.,PIPOPE CHOKVATHANA,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,4.,WILSON TEO YONG PENG,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,5.,SARSAK TUNTASUWON,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,6.,SATHIT PITIVARA,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,7.,WEERAPAT PUNSAK-UDOMSIN,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,8.,PICHAI NERANARTKOMOL,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,9.,SOPHON INTANATE,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,10.,CHATTAPHUM KHANTIVIRIYA,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of the Board of Directors,11.,RONNAWAT SUWANNAPIROM,N/A,5 / 5,100.00,1 / 1,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Audit Committee,1.,VICHIT YANAMORN,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Audit Committee,2.,SARSAK TUNTASUWON,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Audit Committee,3.,RONNAWAT SUWANNAPIROM,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Executive Committee,1.,EKACHAI SIRIJIRAPATANA,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Executive Committee,2.,PICHAI NERANARTKOMOL,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Executive Committee,3.,SOPHON INTANATE,N/A,5 / 5,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Risk Management Committee,1.,SARSAK TUNTASUWON,N/A,4 / 4,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Risk Management Committee,2.,VICHIT YANAMORN,N/A,4 / 4,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Risk Management Committee,3.,RONNAWAT SUWANNAPIROM,N/A,4 / 4,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SATHIT PITIVARA,N/A,3 / 3,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,RONNAWAT SUWANNAPIROM,N/A,3 / 3,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PIPOPE CHOKVATHANA,N/A,3 / 3,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Governance and Sustainable Development Committee,1.,RONNAWAT SUWANNAPIROM,N/A,2 / 2,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Governance and Sustainable Development Committee,2.,CHATTAPHUM KHANTIVIRIYA,N/A,2 / 2,100.00,,
IT,2024,5,5,10/04/2024,No,Meeting Attendance of Governance and Sustainable Development Committee,3.,PIPOPE CHOKVATHANA,N/A,2 / 2,100.00,,
IT,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IT,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IT,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,6 / 6,100.00,,
IT,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,6 / 6,100.00,,
IT,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,6 / 6,100.00,,
IT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
